"","year","commonName","sys_loc_code","facility","facility_code","perc_detected","LATITUDE","LONGITUDE"
"79",2005,"PFOA","257859","3M Chemolite / Cottage Grove","SR0000033",1,44.919332,-92.87381
"80",2005,"PFOA","257864","East Metro PFAS","SR0001491",0,44.996043,-92.982911
"81",2005,"PFOA","257932","East Metro PFAS","SR0001491",0,44.996304,-92.983659
"82",2005,"PFOA","257933","East Metro PFAS","SR0001491",0,44.998555,-92.983278
"83",2005,"PFOA","257935","East Metro PFAS","SR0001491",0,44.996115,-92.981616
"84",2005,"PFOA","257972","East Metro PFAS","SR0001491",0,44.996391,-92.944887
"85",2005,"PFOA","257976","East Metro PFAS","SR0001491",0,44.997997,-92.983405
"86",2005,"PFOA","271978","East Metro PFAS","SR0001491",0,44.978481,-92.934492
"87",2005,"PFOA","506893","Pigs Eye Landfill","SR0000117",1,44.927381,-93.034175
"88",2005,"PFOA","547868","Pigs Eye Landfill","SR0000117",0,44.927164,-93.034808
"89",2005,"PFOA","547878","Pigs Eye Landfill","SR0000117",1,44.929561,-93.028069
"90",2005,"PFOA","575148","East Metro PFAS","SR0001491",0,44.989747,-92.943524
"91",2005,"PFOA","597116","East Metro PFAS","SR0001491",0,44.97996,-92.937863
"92",2005,"PFOA","599966","East Metro PFAS","SR0001491",0,44.980849,-92.936125
"93",2005,"PFOA","615494","East Metro PFAS","SR0001491",0,44.975417,-92.929701
"94",2005,"PFOA","616663","East Metro PFAS","SR0001491",0,44.979189,-92.937118
"95",2005,"PFOA","623865","East Metro PFAS","SR0001491",0,44.976449,-92.929961
"96",2005,"PFOA","628276","East Metro PFAS","SR0001491",0,44.977164,-92.930079
"97",2005,"PFOA","628279","East Metro PFAS","SR0001491",0,44.975805,-92.930284
"98",2005,"PFOA","633266","East Metro PFAS","SR0001491",0,44.977138,-92.930878
"99",2005,"PFOA","633269","East Metro PFAS","SR0001491",0,44.977246,-92.931322
"100",2005,"PFOA","633276","East Metro PFAS","SR0001491",0,44.975714,-92.929637
"101",2005,"PFOA","641705","East Metro PFAS","SR0001491",0,44.980165,-92.935022
"102",2005,"PFOA","645610","East Metro PFAS","SR0001491",0,44.976201,-92.929751
"103",2005,"PFOA","658960","East Metro PFAS","SR0001491",0,44.974534,-92.92813
"104",2005,"PFOA","658982","East Metro PFAS","SR0001491",0,44.977136,-92.928355
"105",2005,"PFOA","672580","East Metro PFAS","SR0001491",0,44.974606,-92.927609
"106",2005,"PFOA","699705","Pigs Eye Landfill","SR0000117",1,44.927092,-93.034808
"107",2005,"PFOA","699707","Pigs Eye Landfill","SR0000117",1,44.927128,-93.034808
"108",2005,"PFOA","699709","Pigs Eye Landfill","SR0000117",0,44.928147,-93.030831
"109",2005,"PFOA","699711","Pigs Eye Landfill","SR0000117",1,44.928183,-93.030831
"110",2005,"PFOA","699712","Pigs Eye Landfill","SR0000117",1,44.928643,-93.030071
"111",2005,"PFOA","699713","Pigs Eye Landfill","SR0000117",0,44.928634,-93.03016
"112",2005,"PFOA","MNPCAP17824","3M Chemolite / Cottage Grove","SR0000033",1,44.799345,-92.909118
"113",2005,"PFOA","MNPCAP17825","3M Chemolite / Cottage Grove","SR0000033",1,44.787651,-92.905002
"114",2005,"PFOA","MNPCAP17827","3M Chemolite / Cottage Grove","SR0000033",1,44.790553,-92.922571
"115",2005,"PFOA","MNPCAP17828","3M Chemolite / Cottage Grove","SR0000033",0.333333333333333,44.790377,-92.913504
"116",2005,"PFOA","MNPCAP17829","3M Chemolite / Cottage Grove","SR0000033",1,44.789521,-92.911913
"117",2005,"PFOA","MNPCAP17830","3M Chemolite / Cottage Grove","SR0000033",1,44.792068,-92.911694
"118",2005,"PFOA","MNPCAP17831","3M Chemolite / Cottage Grove","SR0000033",1,44.794356,-92.913638
"119",2005,"PFOA","MNPCAP17832","3M Chemolite / Cottage Grove","SR0000033",1,44.792198,-92.916422
"120",2005,"PFOA","MNPCAP17833","3M Chemolite / Cottage Grove","SR0000033",1,44.785868,-92.914699
"121",2005,"PFOA","MNPCAP17834","3M Chemolite / Cottage Grove","SR0000033",1,44.785839,-92.912171
"122",2005,"PFOA","MNPCAP17835","3M Chemolite / Cottage Grove","SR0000033",1,44.79415,-92.914763
"123",2005,"PFOA","MNPCAP17838","3M Chemolite / Cottage Grove","SR0000033",1,44.785503,-92.898355
"124",2005,"PFOA","MNPCAP17839","3M Chemolite / Cottage Grove","SR0000033",1,44.78589,-92.897963
"125",2005,"PFOA","MNPCAP17847","3M Chemolite / Cottage Grove","SR0000033",1,44.788502,-92.909993
"126",2005,"PFOA","MNPCAP17852","3M Chemolite / Cottage Grove","SR0000033",1,44.785666,-92.909896
"127",2005,"PFOA","MNPCAP17853","3M Chemolite / Cottage Grove","SR0000033",1,44.785557,-92.908392
"128",2005,"PFOA","MNPCAP17854","3M Chemolite / Cottage Grove","SR0000033",1,44.790407,-92.917764
"129",2005,"PFOA","MNPCAP17855","3M Chemolite / Cottage Grove","SR0000033",1,44.791379,-92.917965
"130",2005,"PFOA","MNPCAP17862","3M Chemolite / Cottage Grove","SR0000033",1,44.786534,-92.914749
"131",2005,"PFOA","MNPCAP17865","3M Woodbury","SR0000365",0.333333333333333,44.787651,-92.905001
"132",2005,"PFOA","MNPCAP17870","3M Woodbury","SR0000365",0,44.862196,-92.901511
"133",2005,"PFOA","MNPCAP17875","3M Woodbury","SR0000365",0.363636363636364,44.86423,-92.901039
"134",2005,"PFOA","MNPCAP17879","3M Woodbury","SR0000365",0.222222222222222,44.858864,-92.900783
"135",2005,"PFOA","MNPCAP17881","3M Woodbury","SR0000365",0,44.862167,-92.899904
"136",2005,"PFOS","134754","East Metro PFAS","SR0001491",0,44.99479,-92.946513
"137",2005,"PFOS","174298","East Metro PFAS","SR0001491",0,44.962223,-92.951247
"138",2005,"PFOS","233554","3M Chemolite / Cottage Grove","SR0000033",1,44.787238,-92.906266
"139",2005,"PFOS","233567","3M Chemolite / Cottage Grove","SR0000033",1,44.80406,-92.913066
"140",2005,"PFOS","233568","3M Chemolite / Cottage Grove","SR0000033",0,44.793534,-92.909922
"141",2005,"PFOS","233569","3M Chemolite / Cottage Grove","SR0000033",1,44.791629,-92.914261
"142",2005,"PFOS","233570","3M Chemolite / Cottage Grove","SR0000033",1,44.787513,-92.912383
"143",2005,"PFOS","233571","3M Chemolite / Cottage Grove","SR0000033",1,44.802888,-92.923058
"144",2005,"PFOS","233573","3M Chemolite / Cottage Grove","SR0000033",0.333333333333333,44.797283,-92.903973
"145",2005,"PFOS","233575","3M Chemolite / Cottage Grove","SR0000033",1,44.793515,-92.92063
"146",2005,"PFOS","233951","3M Chemolite / Cottage Grove","SR0000033",1,44.786098,-92.909782
"147",2005,"PFOS","233952","3M Chemolite / Cottage Grove","SR0000033",1,44.785578,-92.901869
